2025/03/11 08:54:19 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:54:25 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:54:31 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:54:37 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:54:43 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:54:49 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:54:55 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:01 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:07 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:13 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:19 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:25 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:31 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:37 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:43 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:48 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:52 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:55:54 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:56:00 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET / HTTP/1.1", upstream: "http://207.180.195.219:8080/", host: "jenkins.adrianrcv.eu"
2025/03/11 08:56:03 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET / HTTP/1.1", upstream: "http://207.180.195.219:8080/", host: "jenkins.adrianrcv.eu"
2025/03/11 08:56:03 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET / HTTP/1.1", upstream: "http://207.180.195.219:8080/", host: "jenkins.adrianrcv.eu"
